feature,importance
num__duration,0.46903696331333156
cat__poutcome_success,0.11908047580114998
cat__contact_unknown,0.10691172638368389
cat__housing_yes,0.0441864441380377
num__day,0.03895911312178605
num__balance,0.032223778211407386
num__age,0.03211011488055095
cat__month_mar,0.026830038028264874
cat__month_aug,0.015001189110012499
cat__month_jul,0.014924157714138206
cat__month_oct,0.01401099398598821
cat__month_jun,0.012878565024998463
cat__month_apr,0.00939672638035559
cat__poutcome_unknown,0.00921114428468707
cat__month_feb,0.00913710703966278
