feature,importance
num__duration,0.340588214564229
num__day,0.0757805298486245
num__balance,0.07288464502175306
cat__poutcome_success,0.07181748583328056
num__age,0.06853173910118593
cat__contact_unknown,0.06576471340477537
num__campaign,0.022008327093705374
cat__month_mar,0.01961000374781662
cat__housing_no,0.01900071207036667
cat__month_jul,0.013788184902122264
cat__month_oct,0.01313122805897627
num__pdays,0.013040557036434657
cat__housing_yes,0.011996363640872568
cat__month_apr,0.011886243314849132
cat__month_feb,0.011635781714540895
