feature,importance
num__duration,0.34179333709561927
num__balance,0.07533810245702893
cat__poutcome_success,0.07168394195817245
num__day,0.06846622465022192
cat__contact_unknown,0.06520515929592965
num__age,0.06290654253809316
num__pdays,0.025610228028335937
num__campaign,0.02224260247187797
cat__housing_yes,0.021873445505555332
cat__month_mar,0.0202355332211403
cat__month_apr,0.013232193358949821
cat__month_oct,0.012831895487837417
cat__month_feb,0.011182343296943363
cat__month_jul,0.010727531537485326
num__previous,0.010333403512452034
